congress;chamber;icpsr;state_icpsr;district_code;state_abbrev;party_code;occupancy;last_means;bioname;bioguide_id;born;died;nominate_dim1;nominate_dim2;nominate_log_likelihood;nominate_geo_mean_probability;nominate_number_of_votes;nominate_number_of_errors;conditional;nokken_poole_dim1;nokken_poole_dim2
116;House;20530;49;10;TX;200;;;McCaul, Michael T.;M001157;1962;;0.433;0.087;-148.09397;0.82807;785;59;;0.328;0.252
116;House;20903;71;4;CA;200;;;McClintock, Tom;M001177;1956;;0.719;-0.474;-170.2376;0.80256;774;94;;0.644;-0.381
116;House;20122;33;4;MN;100;;;McCollum, Betty;M001143;1954;;-0.418;-0.189;-25.55637;0.96829;793;7;;-0.458;-0.084
116;Senate;14921;51;0;KY;200;;;McConnell, Mitch;M000355;1942;;0.402;0.004;-55.27365;0.91418;616;14;;0.309;0.164
116;House;21736;40;4;VA;100;;;McEacchin, Donald;M001200;1961;;-0.375;-0.084;-38.76212;0.94296;660;16;;-0.299;-0.042
116;House;29729;3;2;MA;100;;;McGovern, James;M000312;1959;;-0.539;-0.301;-14.36234;0.98198;790;5;;-0.466;-0.556
116;House;20522;47;10;NC;200;;;McHenry, Patrick T.;M001156;1975;;0.552;0.079;-154.44916;0.81186;741;60;;0.418;0.07
116;House;21188;56;1;WV;200;;;McKinley, David;M001180;1947;;0.3;0.191;-132.5903;0.84621;794;55;;0.32;0.355
116;House;20535;73;5;WA;200;;;McMorris Rodgers, Cathy;M001159;1969;;0.426;0.113;-119.85405;0.85603;771;52;;0.413;-0.038
116;House;20702;71;9;CA;100;;;McNerney, Jerry;M001166;1951;;-0.262;-0.153;-19.88289;0.97451;770;8;;-0.427;-0.179
116;Senate;21501;61;0;AZ;200;;;McSally, Martha;M001197;1966;;0.345;0.027;-35.62669;0.94281;605;13;;0.338;0.21
116;House;21348;47;11;NC;200;;;MEADOWS, Mark;M001187;1959;;0.605;-0.201;-132.76565;0.81396;645;60;;0.587;-0.209
